input,output
I guess it will be a long time before I can return to Japan.,Supongo que pasará mucho tiempo antes de que pueda volver a Japón.
I have a cat and a dog. The cat's black and the dog's white.,Tengo un gato y un perro. El gato es negro y el perro es blanco.
I have a feeling that something dreadful is going to happen.,Tengo la sensación de que algo terrible va a pasar.
I have three dogs. One is male and the other two are female.,"Tengo tres perros. Uno es macho, y las otras dos son hembras."
I hope that you will continue to favor us with your support.,Espero que siga favoreciéndonos con su apoyo.
"I invited twelve people to my party, but one could not come.","Invité a doce personas a mi fiesta, pero una no pudo venir."
"I know I probably don't say it often enough, but I love you.","Sé que posiblemente no lo diga lo suficientemente a menudo, pero te amo."
"I know Tom is a friend of yours, but I still don't like him.","Sé que Tom es tu amigo, pero no me agrada mucho de todas formas."
I lived in Boston for three years before I moved to Chicago.,Viví en Boston durante tres años antes de mudarme a Chicago.
I make it a rule not to watch television after nine o'clock.,Tomé como regla no mirar televisión después de las nueve.
I never thought I would have to support such a large family.,Jamás pensé que tendría que sostener a una familia tan numerosa.
I never thought it'd be this easy to hack into your website.,Nunca pensé que sería así de fácil infiltrarme en tu sitio web.
I promise that this discussion will be the last of its kind.,Prometo que este tipo de discusión no se repetirá más.
I saw a lady go through the gate without showing her ticket.,Vi a una señora atravesar la puerta sin enseñar su boleto.
I spent two hours watching a baseball game on TV last night.,Anoche me pasé dos horas viendo en la TV un partido de béisbol.
I spent two hours yesterday trying to fix that broken radio.,Ayer pasé dos horas intentando arreglar esa radio rota.
I think Tom's grandmother is too old to be wearing a bikini.,Pienso que la abuela de Tom es muy vieja para estar usando una bikini.
I think it's time for me to reconsider how I've been living.,Creo que es hora de que me replantee cómo he estado viviendo.
I think it's unlikely that Tom will come to the party alone.,Creo que es improbable que Tom venga solo a la fiesta.
I think that our living together has influenced your habits.,Creo que nuestra convivencia ha influenciado tu forma de vida.
I think the best way to learn English is to live in America.,Creo que la mejor forma de aprender inglés es vivir en los Estados Unidos.
I thought about how much had happened in the last two hours.,Pensé en qué tanto había pasado en las pasadas dos horas.
I tried to convince myself that I was doing the right thing.,Me intenté convencer de que estaba haciendo lo correcto.
"I understand the sentence, but I'm not able to translate it.","Yo entiendo la frase, pero no logro traducirla."
I was a member of the soccer club when I was in junior high.,Yo fui miembro del club de fútbol cuando estaba en secundaria.
I was just about to leave the house when the telephone rang.,Estaba a punto de salir de la casa cuando sonó el teléfono.
I was thinking of going out and buying a whole new wardrobe.,Estuve pensando en salir y comprar todo un nuevo armario.
"I will see my friends tonight, but my sister won't see hers.","Veré a mis amigos esta noche, pero mi hermana no verá a los suyos."
I will show you a new approach to foreign language learning.,Te mostraré un nuevo enfoque para el aprendizaje de idiomas extranjeros.
I won't be able to see where I'm going without a flashlight.,No seré capaz de ver adónde voy sin una linterna.
"I would have liked to come with you, but I didn't have time.",Me hubiera gustado ir contigo pero no tenía tiempo.
I would rather stay at home than go out in this hot weather.,Preferiría quedarme en casa a salir con este calor.
I'd rather live in peaceful poverty than in wealth and fear.,Preferiría vivir pacíficamente en la pobreza que atemorizado en la riqueza.
I'll get in touch with you as soon as I return from America.,Me pondré en contacto contigo en cuanto regrese de Estados Unidos.
I'm planning to spend more time studying French from now on.,Estoy planeando dedicar más tiempo a estudiar francés de ahora en adelante.
"I'm sorry, but I didn't understand what you said in English.",Lo siento pero no puedo entender lo que ha dicho en inglés.
I'm trying to figure out how to solve the problem by myself.,Estoy intentando ver cómo resuelvo el problema yo solo.
I'm very grateful for what you've done for me and my family.,Estoy muy agradecida por lo que has hecho por mí y mi familia.
I'm very grateful for what you've done for me and my family.,Estoy muy agradecido por lo que has hecho por mí y mi familia.
I'm very grateful for what you've done for me and my family.,Estoy muy agradecida por lo que habéis hecho por mí y mi familia.
I'm very grateful for what you've done for me and my family.,Estoy muy agradecido por lo que habéis hecho por mí y mi familia.
I'm very grateful for what you've done for me and my family.,Estoy muy agradecida por lo que usted ha hecho por mí y mi familia.
I'm very grateful for what you've done for me and my family.,Estoy muy agradecido por lo que usted ha hecho por mí y mi familia.
I'm very grateful for what you've done for me and my family.,Estoy muy agradecida por lo que ustedes han hecho por mí y mi familia.
I'm very grateful for what you've done for me and my family.,Estoy muy agradecido por lo que ustedes han hecho por mí y mi familia.
I've been saving this bottle of wine for a special occasion.,He guardado esta botella de vino para una ocasión especial.
I've heard that he won't be in this country for a long time.,"Por lo que oí, él no estará por mucho tiempo en este país."
"If I do this, will it be viewed by others in a negative way?","Si hago esto, ¿los otros lo verán de un modo negativo?"
"If it had not been for civil war, they would be wealthy now.","Si no hubiera sido por la guerra civil, ahora ellos serían ricos."
"If it had not been for your help, he would have been ruined.","De no haber sido por tu ayuda, él hubiera estado arruinado."
"If there are houses nearby, a volcano can create a disaster.","Si hay casas cerca, un volcán puede crear un desastre."
"If you can't explain it easily, you don't yet understand it.","Si no puedes explicarlo con facilidad, no lo has entendido todavía."
"If you get scared during the night, just turn on your light.",Si te entra miedo por la noche enciende la luz.
"If you trust such a fellow, you'll lose everything you have.","Si confías en un tipo así, perderás todo lo que tienes."
"If you want something done right, you should do it yourself.","Si quieres que algo se haga bien, debes hacerlo tú mismo."
"If you want to avoid cholesterol, eat lean meat with no fat.","Si quieres evitar el colesterol, come carnes magras sin grasa."
"If your prices are competitive, we will place a large order.","Si sus precios son competitivos, haremos un pedido mayor."
"If your prices are competitive, we will place a large order.","Si vuestros precios son competitivos, haremos un pedido importante."
"In spite of the language difficulty, we soon became friends.","A pesar de las dificultades de idioma, todos nos hicimos amigos rápido."
In the absence of a better idea I had to choose this method.,"Frente a la ausencia de una mejor idea, tuve que elegir este método."
It is difficult for foreigners to get used to Japanese food.,A los extranjeros les cuesta acostumbrarse a la comida japonesa.
It is not rare for girls today to talk as if they were boys.,No es raro para las niñas de hoy hablar como si fueran niños.
